movie_id,title,description,release_year,duration,language,country,genre,director,actors
1,Movie 0,"A thrilling adventure of hero number 0, fighting the odds.",1975,129,Korean,USA,Sci-Fi,Director 556,Actor 935
2,Movie 1,"A thrilling adventure of hero number 1, fighting the odds.",1971,165,Spanish,Japan,Documentary,Director 273,Actor 600
3,Movie 2,"A thrilling adventure of hero number 2, fighting the odds.",2019,118,French,USA,Horror,Director 115,Actor 133
4,Movie 3,"A thrilling adventure of hero number 3, fighting the odds.",1967,136,Korean,USA,Thriller,Director 867,Actor 846
5,Movie 4,"A thrilling adventure of hero number 4, fighting the odds.",1982,103,English,France,Sci-Fi,Director 81,Actor 557
6,Movie 5,"A thrilling adventure of hero number 5, fighting the odds.",1989,108,Hindi,Germany,Drama,Director 356,Actor 160
7,Movie 6,"A thrilling adventure of hero number 6, fighting the odds.",1984,124,French,South Korea,Documentary,Director 712,Actor 463
8,Movie 7,"A thrilling adventure of hero number 7, fighting the odds.",2019,159,Hindi,UK,Sci-Fi,Director 364,Actor 851
9,Movie 8,"A thrilling adventure of hero number 8, fighting the odds.",1958,98,Korean,France,Horror,Director 842,Actor 210
10,Movie 9,"A thrilling adventure of hero number 9, fighting the odds.",1955,96,English,Germany,Comedy,Director 462,Actor 938
11,Movie 10,"A thrilling adventure of hero number 10, fighting the odds.",2023,90,Spanish,France,Documentary,Director 416,Actor 310
12,Movie 11,"A thrilling adventure of hero number 11, fighting the odds.",1968,172,Hindi,UK,Thriller,Director 679,Actor 115
13,Movie 12,"A thrilling adventure of hero number 12, fighting the odds.",1990,180,Hindi,India,Documentary,Director 488,Actor 312
14,Movie 13,"A thrilling adventure of hero number 13, fighting the odds.",1981,88,Korean,India,Action,Director 250,Actor 300
15,Movie 14,"A thrilling adventure of hero number 14, fighting the odds.",1979,97,Korean,France,Romance,Director 722,Actor 954
16,Movie 15,"A thrilling adventure of hero number 15, fighting the odds.",2013,83,Hindi,South Korea,Drama,Director 26,Actor 36
17,Movie 16,"A thrilling adventure of hero number 16, fighting the odds.",2002,123,Japanese,India,Documentary,Director 929,Actor 70
18,Movie 17,"A thrilling adventure of hero number 17, fighting the odds.",2004,101,French,India,Romance,Director 314,Actor 778
19,Movie 18,"A thrilling adventure of hero number 18, fighting the odds.",2011,175,English,South Korea,Drama,Director 683,Actor 233
20,Movie 19,"A thrilling adventure of hero number 19, fighting the odds.",2024,108,Japanese,UK,Romance,Director 803,Actor 705
21,Movie 20,"A thrilling adventure of hero number 20, fighting the odds.",2003,165,French,USA,Comedy,Director 329,Actor 607
22,Movie 21,"A thrilling adventure of hero number 21, fighting the odds.",1979,98,Korean,South Korea,Action,Director 265,Actor 65
23,Movie 22,"A thrilling adventure of hero number 22, fighting the odds.",1980,80,Korean,USA,Sci-Fi,Director 584,Actor 813
24,Movie 23,"A thrilling adventure of hero number 23, fighting the odds.",1975,103,English,UK,Sci-Fi,Director 24,Actor 293
25,Movie 24,"A thrilling adventure of hero number 24, fighting the odds.",1977,113,Japanese,South Korea,Action,Director 309,Actor 539
26,Movie 25,"A thrilling adventure of hero number 25, fighting the odds.",2024,106,English,Japan,Documentary,Director 771,Actor 144
27,Movie 26,"A thrilling adventure of hero number 26, fighting the odds.",1981,118,French,France,Sci-Fi,Director 485,Actor 851
28,Movie 27,"A thrilling adventure of hero number 27, fighting the odds.",1990,166,French,USA,Horror,Director 831,Actor 584
29,Movie 28,"A thrilling adventure of hero number 28, fighting the odds.",1951,157,Japanese,South Korea,Romance,Director 604,Actor 962
30,Movie 29,"A thrilling adventure of hero number 29, fighting the odds.",1954,139,Japanese,South Korea,Sci-Fi,Director 848,Actor 397
31,Movie 30,"A thrilling adventure of hero number 30, fighting the odds.",2020,111,Korean,India,Drama,Director 52,Actor 966
32,Movie 31,"A thrilling adventure of hero number 31, fighting the odds.",1974,86,Hindi,Germany,Drama,Director 894,Actor 549
33,Movie 32,"A thrilling adventure of hero number 32, fighting the odds.",2023,96,English,France,Drama,Director 917,Actor 841
34,Movie 33,"A thrilling adventure of hero number 33, fighting the odds.",1991,167,French,Germany,Action,Director 367,Actor 691
35,Movie 34,"A thrilling adventure of hero number 34, fighting the odds.",1959,179,English,Japan,Thriller,Director 957,Actor 86
36,Movie 35,"A thrilling adventure of hero number 35, fighting the odds.",1959,157,English,Japan,Comedy,Director 940,Actor 136
37,Movie 36,"A thrilling adventure of hero number 36, fighting the odds.",1957,121,Hindi,France,Romance,Director 918,Actor 32
38,Movie 37,"A thrilling adventure of hero number 37, fighting the odds.",1954,162,Japanese,South Korea,Sci-Fi,Director 920,Actor 471
39,Movie 38,"A thrilling adventure of hero number 38, fighting the odds.",2017,179,French,Germany,Documentary,Director 212,Actor 844
40,Movie 39,"A thrilling adventure of hero number 39, fighting the odds.",2017,83,English,USA,Comedy,Director 240,Actor 258
41,Movie 40,"A thrilling adventure of hero number 40, fighting the odds.",2023,124,English,India,Thriller,Director 773,Actor 160
42,Movie 41,"A thrilling adventure of hero number 41, fighting the odds.",1964,176,Spanish,USA,Action,Director 264,Actor 215
43,Movie 42,"A thrilling adventure of hero number 42, fighting the odds.",1953,94,English,Japan,Documentary,Director 543,Actor 157
44,Movie 43,"A thrilling adventure of hero number 43, fighting the odds.",1986,154,Hindi,France,Horror,Director 111,Actor 708
45,Movie 44,"A thrilling adventure of hero number 44, fighting the odds.",1992,104,Japanese,USA,Romance,Director 277,Actor 22
46,Movie 45,"A thrilling adventure of hero number 45, fighting the odds.",1965,157,Japanese,India,Romance,Director 111,Actor 669
47,Movie 46,"A thrilling adventure of hero number 46, fighting the odds.",1981,95,English,Germany,Drama,Director 51,Actor 374
48,Movie 47,"A thrilling adventure of hero number 47, fighting the odds.",2010,88,Hindi,South Korea,Comedy,Director 511,Actor 705
